referencia,titulo,categoria,preco,descricao,variacao,estoque,marca,image0,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,video1
65044B,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 179,90","Código Ref.: 65044B

Material: Napa Croco na cor Branco;

Enfeites: Zíper na Cor Branco;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Branco;

Salto: 10 cm de Altura e Revestido em Napa Croco na cor Branco;

Solado de TR na cor Bege.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",38,15,Torricella,img/65044B/Bota Bico Fino Feminina 0.jpg,img/65044B/Bota Bico Fino Feminina 1.jpg,img/65044B/Bota Bico Fino Feminina 2.jpg,img/65044B/Bota Bico Fino Feminina 3.jpg,img/65044B/Bota Bico Fino Feminina 4.jpg,img/65044B/Bota Bico Fino Feminina 5.jpg,img/65044B/Bota Bico Fino Feminina 6.jpg,img/65044B/Bota Bico Fino Feminina 7.jpg,img/65044B/Bota Bico Fino Feminina 8.jpg,img/65044B/Bota Bico Fino Feminina 9.jpg,img/65044B/Bota Bico Fino Feminina 10.mp4,,,,,,
65044B,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 179,90","Código Ref.: 65044B

Material: Napa Croco na cor Branco;

Enfeites: Zíper na Cor Branco;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Branco;

Salto: 10 cm de Altura e Revestido em Napa Croco na cor Branco;

Solado de TR na cor Bege.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",39,4,Torricella,img/65044B/Bota Bico Fino Feminina 0.jpg,img/65044B/Bota Bico Fino Feminina 1.jpg,img/65044B/Bota Bico Fino Feminina 2.jpg,img/65044B/Bota Bico Fino Feminina 3.jpg,img/65044B/Bota Bico Fino Feminina 4.jpg,img/65044B/Bota Bico Fino Feminina 5.jpg,img/65044B/Bota Bico Fino Feminina 6.jpg,img/65044B/Bota Bico Fino Feminina 7.jpg,img/65044B/Bota Bico Fino Feminina 8.jpg,img/65044B/Bota Bico Fino Feminina 9.jpg,img/65044B/Bota Bico Fino Feminina 10.mp4,,,,,,
65072A,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 149,90","Código Ref.: 65072A

Material: Napa na cor Preto;

Enfeites: Zíper na Cor Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Preto;

Salto: 10 cm de Altura e Revestido em Napa na cor Preto;

Solado de TR na cor Preto.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",34,9,Torricella,img/65072A/Bota Bico Fino Feminina 0.jpg,img/65072A/Bota Bico Fino Feminina 1.jpg,img/65072A/Bota Bico Fino Feminina 2.jpg,img/65072A/Bota Bico Fino Feminina 3.jpg,img/65072A/Bota Bico Fino Feminina 4.jpg,img/65072A/Bota Bico Fino Feminina 5.jpg,img/65072A/Bota Bico Fino Feminina 6.jpg,img/65072A/Bota Bico Fino Feminina 7.jpg,img/65072A/Bota Bico Fino Feminina 8.jpg,img/65072A/Bota Bico Fino Feminina 9.jpg,img/65072A/Bota Bico Fino Feminina 10.mp4,,,,,,
65072A,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 149,90","Código Ref.: 65072A

Material: Napa na cor Preto;

Enfeites: Zíper na Cor Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Preto;

Salto: 10 cm de Altura e Revestido em Napa na cor Preto;

Solado de TR na cor Preto.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",35,17,Torricella,img/65072A/Bota Bico Fino Feminina 0.jpg,img/65072A/Bota Bico Fino Feminina 1.jpg,img/65072A/Bota Bico Fino Feminina 2.jpg,img/65072A/Bota Bico Fino Feminina 3.jpg,img/65072A/Bota Bico Fino Feminina 4.jpg,img/65072A/Bota Bico Fino Feminina 5.jpg,img/65072A/Bota Bico Fino Feminina 6.jpg,img/65072A/Bota Bico Fino Feminina 7.jpg,img/65072A/Bota Bico Fino Feminina 8.jpg,img/65072A/Bota Bico Fino Feminina 9.jpg,img/65072A/Bota Bico Fino Feminina 10.mp4,,,,,,
65072A,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 149,90","Código Ref.: 65072A

Material: Napa na cor Preto;

Enfeites: Zíper na Cor Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Preto;

Salto: 10 cm de Altura e Revestido em Napa na cor Preto;

Solado de TR na cor Preto.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",36,28,Torricella,img/65072A/Bota Bico Fino Feminina 0.jpg,img/65072A/Bota Bico Fino Feminina 1.jpg,img/65072A/Bota Bico Fino Feminina 2.jpg,img/65072A/Bota Bico Fino Feminina 3.jpg,img/65072A/Bota Bico Fino Feminina 4.jpg,img/65072A/Bota Bico Fino Feminina 5.jpg,img/65072A/Bota Bico Fino Feminina 6.jpg,img/65072A/Bota Bico Fino Feminina 7.jpg,img/65072A/Bota Bico Fino Feminina 8.jpg,img/65072A/Bota Bico Fino Feminina 9.jpg,img/65072A/Bota Bico Fino Feminina 10.mp4,,,,,,
65072A,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 149,90","Código Ref.: 65072A

Material: Napa na cor Preto;

Enfeites: Zíper na Cor Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Preto;

Salto: 10 cm de Altura e Revestido em Napa na cor Preto;

Solado de TR na cor Preto.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",37,26,Torricella,img/65072A/Bota Bico Fino Feminina 0.jpg,img/65072A/Bota Bico Fino Feminina 1.jpg,img/65072A/Bota Bico Fino Feminina 2.jpg,img/65072A/Bota Bico Fino Feminina 3.jpg,img/65072A/Bota Bico Fino Feminina 4.jpg,img/65072A/Bota Bico Fino Feminina 5.jpg,img/65072A/Bota Bico Fino Feminina 6.jpg,img/65072A/Bota Bico Fino Feminina 7.jpg,img/65072A/Bota Bico Fino Feminina 8.jpg,img/65072A/Bota Bico Fino Feminina 9.jpg,img/65072A/Bota Bico Fino Feminina 10.mp4,,,,,,
65072A,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 149,90","Código Ref.: 65072A

Material: Napa na cor Preto;

Enfeites: Zíper na Cor Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Preto;

Salto: 10 cm de Altura e Revestido em Napa na cor Preto;

Solado de TR na cor Preto.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",38,18,Torricella,img/65072A/Bota Bico Fino Feminina 0.jpg,img/65072A/Bota Bico Fino Feminina 1.jpg,img/65072A/Bota Bico Fino Feminina 2.jpg,img/65072A/Bota Bico Fino Feminina 3.jpg,img/65072A/Bota Bico Fino Feminina 4.jpg,img/65072A/Bota Bico Fino Feminina 5.jpg,img/65072A/Bota Bico Fino Feminina 6.jpg,img/65072A/Bota Bico Fino Feminina 7.jpg,img/65072A/Bota Bico Fino Feminina 8.jpg,img/65072A/Bota Bico Fino Feminina 9.jpg,img/65072A/Bota Bico Fino Feminina 10.mp4,,,,,,
65072A,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 149,90","Código Ref.: 65072A

Material: Napa na cor Preto;

Enfeites: Zíper na Cor Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Preto;

Salto: 10 cm de Altura e Revestido em Napa na cor Preto;

Solado de TR na cor Preto.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",39,8,Torricella,img/65072A/Bota Bico Fino Feminina 0.jpg,img/65072A/Bota Bico Fino Feminina 1.jpg,img/65072A/Bota Bico Fino Feminina 2.jpg,img/65072A/Bota Bico Fino Feminina 3.jpg,img/65072A/Bota Bico Fino Feminina 4.jpg,img/65072A/Bota Bico Fino Feminina 5.jpg,img/65072A/Bota Bico Fino Feminina 6.jpg,img/65072A/Bota Bico Fino Feminina 7.jpg,img/65072A/Bota Bico Fino Feminina 8.jpg,img/65072A/Bota Bico Fino Feminina 9.jpg,img/65072A/Bota Bico Fino Feminina 10.mp4,,,,,,
67026B,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 139,90","Código Ref.: 67026B

Material: Napa Branco e Matelassê Branco;

Enfeites: Detalhes em costuras matelassê e zíper na lateral interna;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Branco;

Salto: 10 cm de Altura e Revestido em Napa Branco;

Solado de TR na cor Bege.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",34,4,Torricella,img/67026B/Bota Bico Fino Feminina 0.jpg,img/67026B/Bota Bico Fino Feminina 1.jpg,img/67026B/Bota Bico Fino Feminina 2.jpg,img/67026B/Bota Bico Fino Feminina 3.jpg,img/67026B/Bota Bico Fino Feminina 4.jpg,img/67026B/Bota Bico Fino Feminina 5.jpg,img/67026B/Bota Bico Fino Feminina 6.jpg,img/67026B/Bota Bico Fino Feminina 7.jpg,img/67026B/Bota Bico Fino Feminina 8.jpg,img/67026B/Bota Bico Fino Feminina 9.jpg,img/67026B/Bota Bico Fino Feminina 10.mp4,,,,,,
67026B,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 139,90","Código Ref.: 67026B

Material: Napa Branco e Matelassê Branco;

Enfeites: Detalhes em costuras matelassê e zíper na lateral interna;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Branco;

Salto: 10 cm de Altura e Revestido em Napa Branco;

Solado de TR na cor Bege.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",35,11,Torricella,img/67026B/Bota Bico Fino Feminina 0.jpg,img/67026B/Bota Bico Fino Feminina 1.jpg,img/67026B/Bota Bico Fino Feminina 2.jpg,img/67026B/Bota Bico Fino Feminina 3.jpg,img/67026B/Bota Bico Fino Feminina 4.jpg,img/67026B/Bota Bico Fino Feminina 5.jpg,img/67026B/Bota Bico Fino Feminina 6.jpg,img/67026B/Bota Bico Fino Feminina 7.jpg,img/67026B/Bota Bico Fino Feminina 8.jpg,img/67026B/Bota Bico Fino Feminina 9.jpg,img/67026B/Bota Bico Fino Feminina 10.mp4,,,,,,
67026B,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 139,90","Código Ref.: 67026B

Material: Napa Branco e Matelassê Branco;

Enfeites: Detalhes em costuras matelassê e zíper na lateral interna;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Branco;

Salto: 10 cm de Altura e Revestido em Napa Branco;

Solado de TR na cor Bege.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",36,13,Torricella,img/67026B/Bota Bico Fino Feminina 0.jpg,img/67026B/Bota Bico Fino Feminina 1.jpg,img/67026B/Bota Bico Fino Feminina 2.jpg,img/67026B/Bota Bico Fino Feminina 3.jpg,img/67026B/Bota Bico Fino Feminina 4.jpg,img/67026B/Bota Bico Fino Feminina 5.jpg,img/67026B/Bota Bico Fino Feminina 6.jpg,img/67026B/Bota Bico Fino Feminina 7.jpg,img/67026B/Bota Bico Fino Feminina 8.jpg,img/67026B/Bota Bico Fino Feminina 9.jpg,img/67026B/Bota Bico Fino Feminina 10.mp4,,,,,,
67026B,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 139,90","Código Ref.: 67026B

Material: Napa Branco e Matelassê Branco;

Enfeites: Detalhes em costuras matelassê e zíper na lateral interna;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Branco;

Salto: 10 cm de Altura e Revestido em Napa Branco;

Solado de TR na cor Bege.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",37,18,Torricella,img/67026B/Bota Bico Fino Feminina 0.jpg,img/67026B/Bota Bico Fino Feminina 1.jpg,img/67026B/Bota Bico Fino Feminina 2.jpg,img/67026B/Bota Bico Fino Feminina 3.jpg,img/67026B/Bota Bico Fino Feminina 4.jpg,img/67026B/Bota Bico Fino Feminina 5.jpg,img/67026B/Bota Bico Fino Feminina 6.jpg,img/67026B/Bota Bico Fino Feminina 7.jpg,img/67026B/Bota Bico Fino Feminina 8.jpg,img/67026B/Bota Bico Fino Feminina 9.jpg,img/67026B/Bota Bico Fino Feminina 10.mp4,,,,,,
67026B,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 139,90","Código Ref.: 67026B

Material: Napa Branco e Matelassê Branco;

Enfeites: Detalhes em costuras matelassê e zíper na lateral interna;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Branco;

Salto: 10 cm de Altura e Revestido em Napa Branco;

Solado de TR na cor Bege.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",38,12,Torricella,img/67026B/Bota Bico Fino Feminina 0.jpg,img/67026B/Bota Bico Fino Feminina 1.jpg,img/67026B/Bota Bico Fino Feminina 2.jpg,img/67026B/Bota Bico Fino Feminina 3.jpg,img/67026B/Bota Bico Fino Feminina 4.jpg,img/67026B/Bota Bico Fino Feminina 5.jpg,img/67026B/Bota Bico Fino Feminina 6.jpg,img/67026B/Bota Bico Fino Feminina 7.jpg,img/67026B/Bota Bico Fino Feminina 8.jpg,img/67026B/Bota Bico Fino Feminina 9.jpg,img/67026B/Bota Bico Fino Feminina 10.mp4,,,,,,
67026B,Bota Bico Fino Feminina,Calçados Femininos Botas,"R$ 139,90","Código Ref.: 67026B

Material: Napa Branco e Matelassê Branco;

Enfeites: Detalhes em costuras matelassê e zíper na lateral interna;

Palmilha: 8 mm de Espessura, Espuma em EVA, e Taloneira Napa Preto;

Forro: Cacharrel, material espumado para maior conforto, na cor Branco;

Salto: 10 cm de Altura e Revestido em Napa Branco;

Solado de TR na cor Bege.
Dimensões da Caixa: 31,5 x 30 x 9,5 cm
Peso do Produto na Caixa: 1000 gramas (aproximadamente)",39,5,Torricella,img/67026B/Bota Bico Fino Feminina 0.jpg,img/67026B/Bota Bico Fino Feminina 1.jpg,img/67026B/Bota Bico Fino Feminina 2.jpg,img/67026B/Bota Bico Fino Feminina 3.jpg,img/67026B/Bota Bico Fino Feminina 4.jpg,img/67026B/Bota Bico Fino Feminina 5.jpg,img/67026B/Bota Bico Fino Feminina 6.jpg,img/67026B/Bota Bico Fino Feminina 7.jpg,img/67026B/Bota Bico Fino Feminina 8.jpg,img/67026B/Bota Bico Fino Feminina 9.jpg,img/67026B/Bota Bico Fino Feminina 10.mp4,,,,,,
